"company_name","city","state","zip","agency","certification_type","ethnicity","commodity_code"
"Chance to Change Inc.","CHICAGO","IL",60637,"Chicago","MBE","African American","238320 - House painting; 238910 - Demolition contractor; 238990 - Cleaning building interiors during and immediately after construction; 561730 - Landscaping services (except planning)"
"Chicago Biomedical Services Company","Chicago","IL",60623,"Chicago","MBE","Hispanic/Latino","811219 - Medical and surgical equipment repair and maintenance services; 811219 - Other Electronic and Precision Equipment Repair and Maintenance"
"Chance to Change Inc.","CHICAGO","IL",60637,"Chicago","MBE","African American","238320 - House painting; 238910 - Demolition contractor; 238990 - Cleaning building interiors during and immediately after construction; 561730 - Landscaping services (except planning)"
"Chandler Property Preservation","Chicago","IL",60620,"Chicago","MBE","African American","236118 - Home improvement (e.g., adding on, remodeling, renovating)"
"Chandler Property Preservation","Chicago","IL",60620,"Chicago","WBE","African American","236118 - Home improvement (e.g., adding on, remodeling, renovating)"
"Chandler Property Preservation","Chicago","IL",60620,"Chicago","MBE","African American","236118 - Home improvement (e.g., adding on, remodeling, renovating)"
"Chandler Property Preservation","Chicago","IL",60620,"Chicago","WBE","African American","236118 - Home improvement (e.g., adding on, remodeling, renovating)"
"Charity & Associates, PC","Chicago","IL",60602,"Chicago","MBE","African American","541110 - Law firms"
"Charles Cathey Jr Ins Agcy Inc","Chicago","IL",60617,"Chicago","MBE","African American","524298 - All Other Insurance Related Activities"
"Charles Isho","Chicago","IL",60645,"Chicago","MBE","Asian American","238130 - Carpentry; 238330 - Floor laying, scraping, finishing and refinishing; 238330 - Flooring Contractors; 238330 - Hardwood flooring, installation only; 238350 - Trim and finish carpentry contractors; 321918 - Other Millwork (including Flooring)"
"Chase Harris","Lansing","IL",60438,"Cook County","MBE","African-American (Black)","541611 - Administrative Management and General Management Consulting Services; 541990 - All Other Professional, Scientific, and Technical Services; 541990 - Construction estimation services"
"Chave Trucking, Inc.","Berwyn","IL",60402,"Cook County","MBE","Hispanic American","484110 - General freight trucking, local"
"Chawla and Associates, Inc.","Chicago","IL",60646,"Chicago","MBE","Asian American","541330 - Engineering services"
"Chawla and Associates, Inc.","Chicago","IL",60646,"Chicago","MBE","Asian American","541330 - Engineering services"
"Cheer Tumbling Dynamics Inc","Chicago","IL",60661,"Chicago","WBE","African American","611620 - Cheerleading instruction, camps, or schools"
"Cheer Tumbling Dynamics Inc","Chicago","IL",60661,"Chicago","MBE","African American","611620 - Cheerleading instruction, camps, or schools"
"Cheer Tumbling Dynamics Inc","Chicago","IL",60661,"Chicago","WBE","African American","611620 - Cheerleading instruction, camps, or schools"
"Cheer Tumbling Dynamics Inc","Chicago","IL",60661,"Chicago","MBE","African American","611620 - Cheerleading instruction, camps, or schools"
"Cheesecakes By JR, Inc.","Chicago","IL",60645,"Chicago","WBE","Caucasian","311812 - Commercial bakeries"
"Chicago Commercial Installation Inc.","Chicago","IL",60620,"Chicago","WBE","Asian American","238350 - Window installation"
"Chicago Commercial Installation Inc.","Chicago","IL",60620,"Chicago","MBE","Asian American","238350 - Window installation"
"Chicago Commercial Installation Inc.","Chicago","IL",60620,"Chicago","WBE","Asian American","238350 - Window installation"
"Chicago Commercial Installation Inc.","Chicago","IL",60620,"Chicago","MBE","Asian American","238350 - Window installation"
